Date | Gender | Post 
25-3-2005|m|Hello,  The following guidelines have been created specifically for Nairaland, in addition to standard rules of forum etiquette. These are guidelines, and not rules.  1. Nairaland is an English language forum. English happens to be our official language in Nigeria. it also happens to be the language of the web. Please make every effort to use clear English at all times:[list]  [li]Avoid 'netspeak' or 'SMS-language'. 'You' is spelled Y-O-U, not u![/li]  [li]Avoid pidgin English, but [I]'put am inside italics'[/I] if you need to use pidgin English.[/li]  [li]Punctuate properly. This makes the forum easier to read. Capitalize your I's.[/li]  [li]We have a spell checker on the site. Use it![/li]  [li]No swear words. This one is a rule, not a guideline.[/li] [/list]  Try to make your posts very easy to read.  2. Avoid posting advertisements or running promotions or contests without the consent of the administrator. Just send me a private message and we'll iron out things! Don't attempt to use this forum to promote any commercial interests without the consent of the administrator!  [I]this list is under construction[/I]
11-4-2005|m|I think we should be allowed to use SMS language. It is more easier to type 'u' as 'you. And everybody understands it. Not everybody uses ten fingers to type.
11-4-2005|m|@diakim: Your point is worthy of serious consideration. I'm working with the assumption that posts are more often read than written. So, the cost of one person spending a little extra time making his post readable results results in a much greater benefit: hundreds of people who will find the post easier to read.  So I can't change this guideline unless I'm able to get a program to automatically translate SMS language to English! I've tried enabling automatic translation of some words, but it doesn't work very well in practice because of the complexity of English grammar.
11-4-2005||Seun, do you really know what a forum is? I'm sure you don't. A forum is not a newspaper where the editor has to go about editing and modifying each post to make it meet some outward standard. So the idea of you scrutinizing every post for grammatical errors and God knows what is damn silly and funny.  I wonder what you would do if you were the admin in charge of  Do you know how many thousands of stuff people post there per day? And in a forum one doesn't have to beg any body to approve the sort of words he uses. After all this is no job application and a member is at no obligation to post on the site.
11-4-2005|m|I imagine that Nairaland is a different kind of forum:  * Nairaland wants to be taken seriously. * Nairaland wants to be as readable as a newspaper. * Nairaland wants people to take time to compose their thoughts. * Nairaland favors the sort of language that anybody can understand. * People using the Internet for the first time should feel at home here. * Nairaland wants to be clean enough for even the President to participate.  So welcome to the Nairaland World! People who come here are not here because they want "a forum". They are here because they want to share ideas/knowledge with many other Nigerians. I believe that we need to project a certain kind of image to get there.  Update: What is the point of posting anywhere if nobody's going to read it? Update 2: Feel free to use 'sms language'/netspeak if you're posting from a mobile phone.
11-4-2005|f|Touch
19-4-2005|m|well, I can see the idea admin is trying to bring in.  THEREFORE there should be a part of this forum that accommodates all the s**t we don't want Mr president to see.  [I]Plzz abeg[/I], have you forgotten that this forum is also via WAP and as such. People will post from their phones. There's no keyboard on my phone so I'm limited to SMS language and some other s**t
19-4-2005|m|Mamba, I never thought of the WAP issue. Thanks!  This forum is very young and insightful comments like yours are very much appreciated. I'm going to temporarily ammend the rules to accomodate people browsing from their mobile phones. The long term solution will be to have a filter than transparently converts 'sms language' to English.  From now on, members are permitted to use 'SMS language' if posting from a mobile phone.
19-4-2005|m|thanks admin, long live NAIRALAND  still the best
29-4-2005|m|Thanks. Now tell your friends!
05-6-2011|m|And nairaland gave birth to ChesleaBmw
02-10-2011||SEUN I THINK YOU ARE DOING A GOOD JOB, even the name Seun is not properly writing in spell check (SE-UN)
14-10-2011|m|pls i dont know where to post this,  the format of NL on my samsung phone browsing is annoying! i cant view my profile talkmore of seeing other things, does these happen on other phones or that my phone dint qualify for the site  i wonder if its how it appears on my phone that it does to other phones yet i have heard so many here saying they are writting with a phone cos i cant even know what topic is in General talkmore of knowing a latest post.
31-10-2011||Exciting topic what a enormous information get by the novelist i love to read it , Please join it and get more info, handmade soap
10-11-2011||Valuable thoughts and advices. I read your topic with great interest.
16-11-2011||Ahh! I stand corrected then, Thanks for clearing that up.
07-1-2012||I THINK YOU NEED TO SEND THIS GUIDE TO ALL STARTER  I NEED IT AS WELL  SEND TO [email][/email]
08-1-2012||He's the one on the right, twylight.
27-1-2012|m|@Ta , thats how the WAP version of Nairaland Forum works, you can't view profile. I post from My phone as well (NOKIA) and all I can do is read and write messages.
05-2-2012|m|Nairaland Forum needs to do orientation for it's members.
18-2-2012|m|I its high time the forum remained elitist.
19-2-2012||I think that's awesome. Makes me feel layered. Like some sort of epic lasagna
20-2-2012|m|omg.
29-2-2012||I never smile. You want a smile, go rent a smile
01-3-2012|m|^ Is that a rhyme
05-3-2012||Very very cool, and thanks for the lesson! I love your unique ink!
05-3-2012|m|^ Explain better.
11-3-2012||Really good thread.I like this!
13-3-2012|m|Please i need help cos i do most of my postin frm my mobile fone, where can i find the tag 'new' to add to a new topic?
27-6-2012||Pls i' m new here and would want to participate, my question is, how do i change my username? Thanks
25-3-2005|m|I love the KUSH band. Their vocal skills are incredible!  Their website - kushsound.com - no longer works (it's been lost to domain name squatters). Does anyone know what they're doing now?  Has the band been disbanded?
01-4-2005|f|Is it the Kush trio of Lara, Amen and one other name I can't remember now? Nigerian Gospel artiste? If yes, I kinda love their music too. They are very good and, now that you've mentioned it, I haven't heard anything about them in a while. Hope they do not have problems singing as a group, because most Nigerian's group artistes I know are seperated: you know, members going solo. Examples are the Remedies, Plantashun boyz, etc.
02-4-2005|f|Since the last member got married, i think they have not been able to get together again. Lara does some kind of drawing and painting so i guess they are all busy with other things
02-4-2005|m|Hello delarontus,  Welcome to Nairaland! Please, tell us everything you know about the Kush band members. I'm dying to find out what happened to them. How do you know Lara does drawing? Do you have her website, weblog, or anything like that?  Seun
02-4-2005|f|Seun, is this another mobile nigeria forum. Anyway watched an interview on the Kush members and she revealed that. She also said she was planning an exhibition. Emem is a lawyer don't know if she practises. The last one, can't remember her name now is Mrs. George. Finito!
13-4-2005||nope you're wrong. they have been able to get together again...but not completely. the other two still perform at shows. recently they were at the AM express anniversary and i think at another artist-exhibition show in Abuja. note that one of them mother works with the NTA, so u know why they get good publicity on NTA.
14-4-2005|f|I am aware of that but i mean together completely as we all know them.
14-4-2005|m|What is the name of the one that works in NTA?
15-4-2005||as i said before: ...but not completely. the other two still perform at shows. meaning they are no more a complete thrio or is it quartet. they are just two now. but it ain't all bad, after all Boyz II men have been reduced to a thrio now, and they're still slamming.  i didn't say one of them works at NTA, i said one of them has a mother who works at NTA
15-4-2005|f|@Seun, Emem's mother works at NTA.
19-7-2005|f|Was just sitting here wondering about Kush, decided to google them as I do now and then, and found this forum.  I used to host a couple of radio programs on Rhythm 93.7 in Lagos / 94.7 Abuja (Rhythm & Soul and Gospel Vybes), and had the pleasure of interviewing the Kush members. We'd been in HOTR together for a while, but their manager - TY (Toyin)'s brother wanted to make sure their publicity was well planned, and so I had to wait a while to get them on my show. I know they were to release an album about when I left Naija, but never got my hands on a copy. I did and do have promotional samples of some of the songs - including the one with Sounds of Blackness - but I'm almost sure they must have remixed it a bit more before releasing it. Now that this thread has sent me down memory lane, I think maybe I should see if old email accounts are still active. Maybe I'll come back and post any new info I can get. It's been a while, though...Emem was just starting Law school when I left, Dapo was in the states working with the likes of George Benson... I really want to know what happened. More than that, I want to know that they are all happy and fulfilled in whatever they are doing...  PK
05-1-2006||Hi every1 this is Meny...I'm Emems Brother...Kush still Exists but without...Toyin...They are trying to come up with a Bang...but you all have to be patient...I might come up with a bang too...who knows...lets just keep our fingers crossed...my website is... www.betarecords.com/meny.ema check out my site...Lara may be married and into her architecture but Kush is STILL alive...and I will make sure that stays that way...
26-3-2006|m|Wow, Emma, pleased to meet you! How can we attend Kush music concerts?
26-3-2006|m|Hey man keep it up. you are cool and all of us here are with you. Tell us when your [album] will be out. Peace!
26-3-2006|m|hey meny wazzup man,  just wondering why the coincidence - you joining the forum just when the subject Kush is been discussed.  Hope there was no advertisement, whatsoever,  just wondering, nothing special!!!
26-3-2006|m|Once again, for Me Nairaland has made The link, I know we are talking of KUSH! That Great and wonderful Trio, But, .@ RHYTHMSOUL., I can say with out a doubt that You are PAULA.!!, I am a Fan, one really Big fan, I still send U mails once in a while too. Gospel Vybes, My oh My!!! i remember those sunday Mornings, i almost run late for church just cuz i always want to stay till 10am, enjoy the entire show and then get the Quiz questions for the week, and it did pay off one day, cuz i did win, ( The Book, Bad Girls Of the Bible and the CD by Lamer campbell), For me Radio was a bit diffrent when u left Rhythm93.7, especially sunday mornings, But Thank God For, BeBe Winans Radio Show, Now.  Hope its all Good for with YOU!, out there, Here is wishing U all the best, Good and God speed in all u do
27-3-2006|m|I've always liked Kuch too (much to the chagrin of my flatmates at school). My sister was given their cd- The Experience as a birthday gift but I've listened to it a lot more times than she has. Well like somone said, it looks like groups have a timeframe to exist. There are quite a number of them who are no more today. In this case, they were together in school (solid rock) which is how and where they started music. But you know they graduate, start their careers, marry and relocate and its not so easy anymore. I think we shgould make do with what we have- their only release so far and wait till sometime in future when they'll get together to do another album. cheers.
04-4-2006||that is true where is kush, well there music is cool i really mis them
04-5-2006|m|Hi, to all fellow Kush lovers, this link will be an interesting read-   Cheers
04-5-2006|m|KUSH star wins British Councils music entrepreneur award  Emem-Abasi Ema, former member of the music group KUSH has emerged as the Nigerian winner of the British Councils International Young Music Entrepreneur (IYMEY) of the Year award 2006. Emem, 27, is a law graduate of the University of Lagos and was songwriter and artiste with KUSH. She is now the Executive Director of VZHUNMEDIA Entertainment Ltd and One Management Services. Her organisation promotes Nigerian culture through music and entertainment and discovers and nurtures young talents.  Reacting to the announcement, Emem said: I am overly excited at getting this opportunity to represent Nigeria and also be a crusader for the promotion and development of the Nigerian music industry. Right now its still very surreal. I am looking forward to working with the British Council and the panel of judges. These (panel) are people who are well respected in the industry and Ive looked up to them over the years  The IYMEY award attracted 172 applications from across Nigeria from young people (25-35 years of age) working in different areas of music enterprise ranging from music promotion and production to artiste management and music journalism. Emem was one of the nine finalists for the award who made presentations to and were interviewed by a panel of seasoned music industry practitioners.  The panel of judges involved in final shortlisting and interviewing was made up of Keni Ogungbe, CEO of Kennis Music, music mogul and broadcaster; Edi Lawani from Showbiz Network Services, music promoter and events manager; Carl Raccah, CEO of Nation Africa record label; Olisa Adibuah of Cool FM/Storm Productions and currently working on Big Brother Nigeria; Tunde Kuboye from Jazz 38, veteran jazz artist and promoter; Onyeka Onwenu, recording artist and NTA Board Member among many other things; and Denise Waddingham, Assistant Director British Council Lagos and British Council Nigerias Head of Arts.  The judges were on the look out for the candidate with the most outstanding entrepreneurial ability, a proven track record within the Nigerian music industry as well as leadership potential, vision and good presentation skills. As the winner for Nigeria, Emem will contend with nine others from countries such as Morocco, Poland and Venezuela for the global IYMEY award. She will also participate in a 10-day tour of the UK music industry, comprising visits, meetings, seminars and live concerts and events in June 2006.  She will have the opportunity to meet key leaders, institutions, companies, etc. within the music sector. Final selection of the worldwide winner will be through a presentation and interview session with an elite panel of UK music industry professionals.  The British Council established the award  International Young Music Entrepreneur of the Year (IYMEY)  to champion and celebrate the importance of creative entrepreneurs working in the field of music. The award is being promoted through the British Councils international network of offices. It is focussed on countries from transitional and developing economies and will showcase individual achievement and potential.  In 2005, Nigerias Lanre Lawal emerged the global winner for the design equivalent, the International Young Design Entrepreneur of the Year (IYDEY).
04-5-2006|m|I'm their FAN
26-5-2006||[b][/b]kush ?? who are they
09-2-2007|m|Toyin is married, she is now Toyin Bello, she's a pretty good photographer and making waves in that circuit, Lara also got married and she's now Lara George, she works with an I.T. firm in Lekki (Socket Works), but she's planning to drop an album pretty soon probably sometime before the year runs out, she has a single on air presently (according to her), but I haven't heard it yet and Emem according to Seun's post, is Executive Director of VZHUNMEDIA Entertainment Ltd . Finally, Dapo is a producer in the U.S, he's kinda different now, grown dreads and all, has his own production outfit and also intends to drop an album soon.
09-2-2007|m|I loved them as a group, anyway. I think they were greater than the sum of their parts. Almost perfect!
22-2-2007|m|Here's Lara's picture on the West African Idol Page:
26-2-2007|m|Hi Nairaland.  As regards Lara's single, is it the 'Ijoba Orun' track that has been on Cool FM for the last couple of weeks? Does anyone know where I can buy a copy?  To think I actually searched the covers of every single Nigerian CD in Nu Metro (the Palms and Silverbird Galleria), looking for any CD that had a track title similar to 'Ijoba Orun' or 'Mu mi dele'. I should have done the internet search first!  Really, looking forward to recieving feedback on this, and having fun on Nairaland
29-3-2007||na wa oh
24-6-2007|m|R dey still 2geda?
10-10-2007|m|m sure all those kush fans know that toyin's album has been released. She's now TY Bello.
11-10-2007|m|Howz her album?
11-10-2007|m|havent heard the whole album, but her singles and video is rocking airwaves
14-1-2009|m|I know Kush very well as I worked closely with them during their release of "The Experience" Is anybody still interested in this post? Emem, now named Mem' O is on the verge of releasing a new single.
25-3-2005|m|I have read Harry Potter books 1, 2, 3, 4 and 5. it is supposed to be a children's book, but it talks about death and witchcraft, and for some reason children are reading it!  Some people believe it encourages witchcraft, and should be avoided for religious reasons. What's your opinion?
26-3-2005|f|Well, let's just say I've got a friend who would never buy Harry Potter products for her kids, not even the pencil case. If I had kids (which I dont just yet), I wouldn't either. Even if it is not aimed at promoting witchcraft or whatever else they contain, I don't suppose I need my kids, or anyone else's for that matter, attempting to practice or dwelling upon the contents of Harry Porter products (esp. books and films). Let's not forget that these are the formative and crucially impressionable years of these children. It is very important what they read, watch and listen to. This is why you meet some of their kids (white) saying they want to go into the University to study witchcraft and black powers. How incredible!!!. So, ahm.. , yes, where were we ? My opinion....... it might teach morally upright lessons, it might not intend to promote witchcraft but Harry Porter does not seem appropriate for kids, if you ask me. Ra
27-3-2005|m|It's not just about the lessons in Harry Potter (that sometimes life can be unpleasant and you have to fight 'evil').  It's about the fact that millions of children are [I]willingly[/I] reading several long novels telling one story, and they are not asking for pretty pictures. That's what's so unique about Harry Potter: children are reading willingly!
30-3-2005|m|Harry Potter's books and movies have been known to have strong witchcraft and occult contents. With this in mind, it will be foolish letting kids have access to these materials, otherwise they will be initiated into witchcraft or might grow up with a warped or deformed forms of thinking.  Beware please, as witchcraft is a highly dangerous practice in this part of the world. A witch in a family (either young or old) can spell a lot of disaster and nightmares. They bring no good to their family.  It is my strong opinion that under no circumstances should children have access to any of Harry Potter's materials.
30-3-2005|f|In as much as i dont believe in witchcraft, if i want my children to enyoy some educational fiction story books, i think i will prefer the fairy tale stories like Cinderella and the likes. I think Harry Potter should be for the matured mind.
04-4-2005|m|i have read bks 1-4 and quite a number of other books that make Harry potter seem pale in comparison, however i would say that such books would not catch childrens' fancy the way Harry Potter does. I think the reason why there's so much of an outcry against it is 'cos its so popular however I agree that it is not suitable for children which might seem unfortunate since i guess the book seems particularly geared towards them. Does it encourage witchcraft? i don't know but i think kids below a certain age shld not be allowed to read such books. (Seun u say u've 1-5, correct me if i'm wrong but i think the films might actually be worse than the books )
04-4-2005|m|I have read the books 1 to 5. In my opinion, the films are tamer than the books, because a faithful movie rendition of 'Harry Potter' would be:[list] [li]Far too long[/li] [li]Rated 18![/li] [/list]
05-4-2005|f|Your question reads Does Harry Potter encourage witchcraft? It sure does, whether book or movie. I have watched two of the movies and read the book too. I found it interesting i must say, but then for the younger minds, it aint too good.
05-4-2005|m|I think the reason many people in the West aren't concerned about whether it encourages witchcraft or not is because they don't believe in witchcraft in the first place.
05-4-2005|f|well i do not hink tht harry porter encourages witchcraft. for crying out loud we r in d 21 century. and i do not believe in tht. i think tht it is a good movie tht encourages kids to be free wif their imagination. it encourages them to explore and to think 3 dimensionally but it definately does not encourage witchcraft. if parents do not feel good bout tht, at leats they could watch the movir with the kids and just explain stuff to them bout the movie if tht would make them feel better.  kids are allowed to watch cartoons, but they r violent. cartoon characters are often shot at ( thought they never die) and kid get the impression tht if some one is shot at tht tht is ok. i mean tht is just not reality!! there are also cartoon characters tht strap them,selves wif explosives. so if it is ok for them to watch those then it is equally ok for them to watch harry porter.  i think tht tht is one great movie. althought i did not get to watch all three of them but i did enjoy them and i think tht it is a good entertainment for kids.  dis is all my opnion. feel free to rebuke.
15-4-2005|m|if you say that, then what would you say about Lord of the Rings? Kids also watch that, don't they? Though I agree that Harry Potter has strong occult undertones.
16-4-2005|f|Hey, it definitely does! I've read 1-4 (yet to read the 5th) though I don't dwell on them. It's just that I really love reading books. Please don't allow your kids read the book. I have cousins who really dwell on it and they go to the xtent of placing curses on me! How horrible please desist!
18-4-2005|m|Yoruba people (I'm 100% yoruba by the way) place 'curses' on each other all the time in normal conversation. "Your life will not be good", "God will punish you", "You're calling me crazy? Your children will be crazy". Is that witchcraft?  I don't think it is difficult for an 8 year old child to figure out that the magic in Harry Potter is not real. As a good parent, your children will ask you if they are not sure. And even if they they try the 'spells' like your cousins, will the spells work? If the spells don't work, then where is the harm?
22-4-2005||I love the books and films. There is so much fun and plenty to laugh about. there is the nice ol" good wins over evil endings. I believe the occultic and witchcraft opinions stems from the fact that we have a success and a bestseller here. I am a good Christian to be modest. Kids that turn out better in their classes always have better imagination through materials that they read. Lets stop fooling around too much... kids know better!. they know more about sex than you knew when you crossed over to adolescence. they watch films that you may not have seen. the concept is to teach a child in the way to go and when he grows he will not leave from it. harry potter wont enable him/her to become a witch neither will it let the kid fly. locking him up or not exposing him to information doesnt qualify as teaching in my opinion. Ofcourse, there are limits. certainly all things in life comes with limits even food does... but dont give me that witch escuse for a kid not to enjoy a well written story!.
28-5-2005|m|though its purely religious fiction, i doubt if it would be "healthy" for the new genaration of kids to watch or read. though if i had a kid( goddamn it i'm just 16), i wouldnt allow that, if my kid is kind of "adventuruous". a book like harry potter would give him wierd idea's.
07-6-2005|m|Men people never change, Harry Potter imparts good morals and that is what you are depriving your kids of if you stop them watching it.  I quoted the above becuase he mentioned Cinderella, we all tend to think that the things we grew up with as a kid were better but really they were not at all!  Cinderella is a story that is full of magic or I dey lie?  Red Riding Hood had a wolf that eat people!  But those are okay abi? Because we grew up with them?  Harry potter is for the next generation and I will happily let my kids read them.  Even when as kinds we all watched the cartoon shows that had high levels of violence and such, please you people should have a reality check and realise that we all watched such stuff when growing up and it did not harm as long as they had a good moral theme.
07-6-2005|m|I feel you Viera, Most of the repondents probably grew up reading all the ladybird series. What are fairies and what do they practice if not magic.. I wonder why you wont let your kid watch harry potter but let them watch Disney cartoons Aladdin was all about Magic and genies, Beauty and the Beast is about magic, so was Little Mermaid and any Disney you care to name. The only one that comes to mind without Magic is Tarzan, even Mulan had families talking to there dead ancestors (necromancy). Yet I dont hear anyone complaining about disney.. Heck Shakespear had aa lot of magic and spells and yet you odnt complain about that one? Go read the Tempest again and tell me if Prospero wasnt a wizard with a demon at his service.. Or what did Puck the fairy do in a Midsummer Nightsdream?  I don tire jare...
07-6-2005|m|I agree with the last 2 posters. How will kids perform witchcraft by watching or reading books ? Sleeping Beauty-- Slept for 100yrs under the spell of magic Sesame street-- Count Dracula was mesmerizing kids with magic. Jack and the beanstalk- Magic beans. Pot of Life ( Nigerian TV series)- Full of spells.  Some won't let their kids read Harry Porter but will let them watch most of the Disney cartoons. Double standards i say.  I think we should be more open minded about certain things in life.
07-6-2005|f|i cant agree less with u guys... ther's nothing that bad in harry porter series my children wont watch...... i see nothing absolutely wrong in the film.... all the witchcrafts u guys re complaining about ain't gonna have adverse effects on children except for those who are evil from birth (may we not have those ones as our children :amen) a good kid will want to be like harry & his friends not like malfoy, sirus black e.t.c.
10-6-2005|f|ok can anyone here tell me how you know when witchcraft is real?
10-6-2005|m|
12-6-2005|f|Sure mate, let me know when you're free. I'll take you to my village.
12-6-2005|m|There is an offer of 1 million pounds to anyone who can prove the existence of magic, telepathy or supernatural.  No one has won it yet!
14-6-2005|m|Sure mate, let me know when you're free. I'll take you to my village.  Ra, you are not doing well for tourism development in your village, are you?  It's ok to be sophisticated and all that. We have to be careful of situations as they really don't come in such clear cut images. Pray for discernment and revelations. We need God to know what to do in situations like this.
21-6-2005|m|It's fiction... But you have to be careful with what you feed kids with at a young age.
24-8-2005|f|yes he does. I hate harry potter.
26-8-2005|f|i think seun should have a "i don't know" in the poll section because i don't know.
18-10-2005|f|Can someone still answer this please!
23-10-2005||yep, and we should not allow our kids to watch most television shows - any sexual relationships between adults is fake and does not describe the real complexities of life. Also, kids should not watch any disney movies or fairy tales - those too are fake and could initiate our children into witchcraft. And our kids should not atch cartoons - too much violence between those power rangers or captain planet - they may grow to think they should use their physical might against others. No more video games for children, they should learn that everyone has a good chance of succeeding in life. We should not allow our kids to hear "success" stories - these present an inaccurate picture of life and make kids think that if they work hard they will succeed - plenty of people work hard with very limited success.
26-10-2005|f|Harry Potter does encourage withcraft! These books are teaching children to cast spells and vexes on others as well as to have them to be changed into other images. I remember not too long ago how when a Harry Potter book was being released children where sleeping in front of books stores to get the book. That is idolzing! We need to teach our children the truth so they can be set free.
26-10-2005||Yeah! I agree, so do ALL Disney movies, ALL fairy tales, MOST children's stories. Additionally, MOST television stories promote sinful behavior - kissing your boyfriend or girlfriend, having sexual thoughts, magical beings - idolatry and witchcraft.  The best thing for our kids is to keep them locked up in the house where they will see, hear, and speak no evil and the only time we allow them to leave are the times we shuttle them to church. Further, we must be careful in church so they are not influenced by the materialism of the world, pastors in their Jeeps while other people suffer, the clothing people wear - heck We should keep kids from church, there are lots of unGodly activity there too  SO, yeah, the best thing is to just keep them locked up in the house. Yeah. . .I think that will do.  I mean, its not like parents are smart enough to teach children not to take something literally. Look at the number of kids who believe in Santa. Parents are useless. They let videogames, movies, books, other people, tv, and the rest of the world control their kids. Its really NOT the parents fault when a child does some things. I mean, no responsibility for educating children should be placed on the parents! Parents should have to speak once, and the children OBEY. That is what it says in the bible.
25-3-2005|m|People hold very strong, contradictory opinions on the performance of our current president, retired general Olusegun Obasanjo. What do you think? Does he deserve a pass mark, at least? Do you think there are people who would do better? I've opened a poll; let's settle this with a vote!
29-3-2005|f|well i would not say tht the pres has done a good job. he did promise a lot of things but i hardly saw anything being done!!. it is not only saying but it is d doing tht counts. so no i will say tht he did and has not done a good job for someone tht has been in power for tht long.
30-3-2005|m|I give him (Obasanjo) only 20%. Nothing more. He would have scored lower if not for the telecommunication sector that he successfully tackled. For other sectors of the economy, all I hear are fine speeches and no buttressing action.
02-4-2005|m|I think he's done pretty well. He's the first Nigerian president I actually enjoy listening to! THe only other political figure that doesn't put me to sleep if former president Bill Clinton of the US, so you can imagine how highly I rate Rtd. General Obasanjo!
04-4-2005|m|I would rather not vote - I don't know what to say of him. However I can't help wondering if he is even interested inthe welfare of NIgeria at all - I believe he's done more for Africa than for Nigeria. Whenever there's a crisis in an African country, you'll see him actively involved, while he doesn't seem to care about what's going on here.
04-4-2005|m|Another thing we must note: he is an elderly man. As people grow older they start thinking thoughts like "what legacy will I leave behind" or "what will future generations think about me". In terms of having money, he is making enough for himself and his family.  So I think his efforts are pretty sincere, and as a smart man they willl be pretty effective.
04-4-2005|m|[color=Blue][/color] As far as am concerned, Chief Olusegun Obasanjo has done pretty good, especially during his second tenure. Corruption as eaten deep in our policians. He is the firt President of this country that would sack a serving minister on basis/allegation of corruption. To me I scored him high.
05-4-2005||Iwill give the president 45%, 25% for his recent action against bribery and corruption and 20% for making GSM operation a reality. All the same, the poverty level have increased instead of reducing in the face of this oil boom we are experiencing under his regime.
05-4-2005|f|Ok, so he is an old man an he is thinking of what legacy he ought to leave behind! Screw that! If he has decided to take up a responsibility, he ought to live up to the expectations. I think it is all bull when people try to make excuses for someone. Whether he is old or not, he knew what challenges he would face and he knew what would be expected of him when he decided to run for president. I mean, even if he is old, he could delegate the work to younger officers.  Anyhow, I still do not feel that he did what was worth the term he was put in power. I mean it is not so difficult to run a country. I mean of course there are financial and racial issues, but please do not tell me that Nigeria is poor!. Hell no, she is swiming in wealth! It is just that there is too much corruption and greed for people to let the country grow. They all want successs for themselves; they do not know that it is in the country growing together that you even benefit more. Just once you have got the right formular to go bout it.  I mean, yeah, there are lots of obstacles but if he really wanted to do some thing, he could have made progress. but that all depends on what his main agenda for running for president was for in the first place. If you take up a responsibility, live up to it else.
06-4-2005|m|Chigsy,  I think you misunderstood my point. My point is that, as an older person, he is more likely to be sincere than a younger person!  Seun Osewa
